,City,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Cloudiness
358,Klaksvik,FO,1578169555,100,62.23,-6.59,280.15,6.2,100
359,Waitara,NZ,1578170189,63,-39.0,174.24,288.15,7.15,100
360,Grand-Santi,GF,1578169626,75,4.27,-54.38,299.91,2.14,95
361,Antalaha,MG,1578170189,84,-14.9,50.28,299.26,1.34,100
362,Lompoc,US,1578169620,72,34.64,-120.46,290.37,3.6,1
363,Bilma,NE,1578170190,34,18.69,12.92,282.88,1.45,0
364,Prudentopolis,BR,1578170190,62,-25.21,-50.98,297.79,2.96,25
365,Douentza,ML,1578170190,15,15.01,-2.95,289.22,3.16,6
366,Boddam,GB,1578169658,93,57.47,-1.78,280.15,4.1,20
367,Matara,BI,1578169921,90,-3.48,29.48,287.67,1.36,55
368,Erzin,TR,1578169662,100,36.95,36.2,282.59,0.5,75
369,High Level,CA,1578169618,91,58.52,-117.13,256.15,4.6,20
